"initial_alias","converted_alias","name","description","namespace"
"AFF3","ENSG00000144218","AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADH1B","ENSG00000196616","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZZEF1","ENSG00000074755","ZZEF1","zinc finger ZZ-type and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLAC9","ENSG00000189129","PLAC9","placenta associated 9 [Source:HGNC Symbol;Acc:HGNC:19255]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SFRP1","ENSG00000104332","SFRP1","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFD","ENSG00000197766","CFD","complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CA7","ENSG00000168748","CA7","carbonic anhydrase 7 [Source:HGNC Symbol;Acc:HGNC:1381]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCD4","ENSG00000150593","PDCD4","programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYOT","ENSG00000120729","MYOT","myotilin [Source:HGNC Symbol;Acc:HGNC:12399]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KAT2B","ENSG00000114166","KAT2B","lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIAA0513","ENSG00000135709","KIAA0513","KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL14","ENSG00000276409","CCL14","C-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10612]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL15-CCL14","ENSG00000275688","CCL15-CCL14","CCL15-CCL14 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44436]","GENECARDS,HGNC,UNIPROT_GN"
"SORCS1","ENSG00000108018","SORCS1","sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHYKPL","ENSG00000175309","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC9A9","ENSG00000181804","SLC9A9","solute carrier family 9 member A9 [Source:HGNC Symbol;Acc:HGNC:20653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLTP","ENSG00000139433","GLTP","glycolipid transfer protein [Source:HGNC Symbol;Acc:HGNC:24867]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPEB3","ENSG00000107864","CPEB3","cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEF2D","ENSG00000116604","MEF2D","myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIFR","ENSG00000113594","LIFR","LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BEST4","ENSG00000142959","BEST4","bestrophin 4 [Source:HGNC Symbol;Acc:HGNC:17106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKX2-3","ENSG00000119919","NKX2-3","NK2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:7836]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPIB","ENSG00000269404","SPIB","Spi-B transcription factor [Source:HGNC Symbol;Acc:HGNC:11242]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYOM1","ENSG00000101605","MYOM1","myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XKR4","ENSG00000206579","XKR4","XK related 4 [Source:HGNC Symbol;Acc:HGNC:29394]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITM2A","ENSG00000078596","ITM2A","integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRPH","ENSG00000135406","PRPH","peripherin [Source:HGNC Symbol;Acc:HGNC:9461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDE7B","ENSG00000171408","PDE7B","phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA9","ENSG00000154258","ABCA9","ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STMN2","ENSG00000104435","STMN2","stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADCY9","ENSG00000162104","ADCY9","adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLPP1","ENSG00000067113","PLPP1","phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UGP2","ENSG00000169764","UGP2","UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE8","ENSG00000139117","CPNE8","copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"CCL23","ENSG00000274736","CCL23","C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRN2","ENSG00000170382","LRRN2","leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXNIP","ENSG00000265972","TXNIP","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RX1","ENSG00000108405","P2RX1","purinergic receptor P2X 1 [Source:HGNC Symbol;Acc:HGNC:8533]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMT1A","ENSG00000185432","TMT1A","thiol methyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:24550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRPM6","ENSG00000119121","TRPM6","transient receptor potential cation channel subfamily M member 6 [Source:HGNC Symbol;Acc:HGNC:17995]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GUCA2B","ENSG00000044012","GUCA2B","guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STBD1","ENSG00000118804","STBD1","starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM47E-STBD1","ENSG00000272414","FAM47E-STBD1","FAM47E-STBD1 readthrough [Source:HGNC Symbol;Acc:HGNC:44667]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PINK1","ENSG00000158828","PINK1","PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PJA2","ENSG00000198961","PJA2","praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RETSAT","ENSG00000042445","RETSAT","retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAF","ENSG00000178573","MAF","MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA6","ENSG00000154262","ABCA6","ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCF21","ENSG00000118526","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBNL1","ENSG00000152601","MBNL1","muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUSTN1","ENSG00000272573","MUSTN1","musculoskeletal, embryonic nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:22144]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STIMATE-MUSTN1","ENSG00000248592","STIMATE-MUSTN1","STIMATE-MUSTN1 readthrough [Source:HGNC Symbol;Acc:HGNC:38834]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PMP2","ENSG00000147588","PMP2","peripheral myelin protein 2 [Source:HGNC Symbol;Acc:HGNC:9117]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PYY","ENSG00000131096","PYY","peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX11","ENSG00000120498","TEX11","testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANK2","ENSG00000145362","ANK2","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ELAVL4","ENSG00000162374","ELAVL4","ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAAA","ENSG00000138744","NAAA","N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADORA3","ENSG00000282608","ADORA3","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SST","ENSG00000157005","SST","somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHLPP2","ENSG00000040199","PHLPP2","PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLCD1","ENSG00000187091","PLCD1","phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACACB","ENSG00000076555","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAMDC2","ENSG00000165072","MAMDC2","MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLPP1","ENSG00000067113","PLPP1","phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPECC1L","ENSG00000100014","SPECC1L","sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WSCD1","ENSG00000179314","WSCD1","WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIER1","ENSG00000198160","MIER1","MIER1 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RELN","ENSG00000189056","RELN","reelin [Source:HGNC Symbol;Acc:HGNC:9957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLCO2A1","ENSG00000174640","SLCO2A1","solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NR3C2","ENSG00000151623","NR3C2","nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSC22D3","ENSG00000157514","TSC22D3","TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDE9A","ENSG00000160191","PDE9A","phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JAM2","ENSG00000154721","JAM2","junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCF21","ENSG00000118526","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNAP91","ENSG00000065609","SNAP91","synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"SCIN","ENSG00000006747","SCIN","scinderin [Source:HGNC Symbol;Acc:HGNC:21695]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEF","ENSG00000167074","TEF","TEF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:11722]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDH19","ENSG00000071991","CDH19","cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL11RA","ENSG00000137070","IL11RA","interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1M","ENSG00000205364","MT1M","metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMCC3","ENSG00000057704","TMCC3","transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETBP1","ENSG00000152217","SETBP1","SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKAL2","ENSG00000189292","ALKAL2","ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTN","ENSG00000105894","PTN","pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEF2C","ENSG00000081189","MEF2C","myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFSF10","ENSG00000121858","TNFSF10","TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHGA","ENSG00000100604","CHGA","chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC4A4","ENSG00000080493","SLC4A4","solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"FNBP1","ENSG00000187239","FNBP1","formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GHR","ENSG00000112964","GHR","growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKAP19","None","None","None",""
"ENPP6","ENSG00000164303","ENPP6","ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCF21","ENSG00000118526","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LGI4","ENSG00000153902","LGI4","leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD163L1","ENSG00000177675","CD163L1","CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKIB","ENSG00000135549","PKIB","cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPK10","ENSG00000109339","MAPK10","mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHNAK","ENSG00000124942","AHNAK","AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL23","ENSG00000274736","CCL23","C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACKR2","ENSG00000144648","ACKR2","atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPAT3","ENSG00000138678","GPAT3","glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADGRL3","ENSG00000150471","ADGRL3","adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC17A4","ENSG00000146039","SLC17A4","solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD209","ENSG00000090659","CD209","CD209 molecule [Source:HGNC Symbol;Acc:HGNC:1641]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AQP8","ENSG00000103375","AQP8","aquaporin 8 [Source:HGNC Symbol;Acc:HGNC:642]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MXI1","ENSG00000119950","MXI1","MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLCL2","ENSG00000154822","PLCL2","phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSG","ENSG00000100448","CTSG","cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABI3BP","ENSG00000154175","ABI3BP","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACADS","ENSG00000122971","ACADS","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C7","ENSG00000112936","C7","complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSTM2","ENSG00000213366","GSTM2","glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"AMPD1","ENSG00000116748","AMPD1","adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PACSIN2","ENSG00000100266","PACSIN2","protein kinase C and casein kinase substrate in neurons 2 [Source:HGNC Symbol;Acc:HGNC:8571]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD36","ENSG00000135218","CD36","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFRSF13B","ENSG00000240505","TNFRSF13B","TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VIP","ENSG00000146469","VIP","vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LDHD","ENSG00000166816","LDHD","lactate dehydrogenase D [Source:HGNC Symbol;Acc:HGNC:19708]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHGB","ENSG00000089199","CHGB","chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
